 9  1.0 1.0
 0.0 24 
       2.400   2956.332    3442.732   7554.285   -4465.799  -7320.762 
       2.600   2029.581    2363.398   5061.714   -3339.104  -3921.993 
       2.800   1278.531    1505.176   3369.354   -2475.989  -2128.106 
       3.000    728.892     881.306   2221.972   -1823.956  -1178.950 
       3.200    358.692     460.315   1450.972   -1337.035   -670.816 
       3.400    127.509     194.783    938.890    -977.136   -393.351 
       3.600     -6.021      38.229    602.044    -712.957   -237.976 
       3.800    -75.226     -46.285    382.754    -520.116   -148.574 
       4.000   -104.542     -85.705    241.449    -379.930    -95.627 
       4.200   -110.787     -98.575    151.219    -278.298    -63.321 
       4.400   -104.797     -96.908     94.091    -204.685    -43.031 
       4.600    -93.227     -88.149     58.191    -151.340    -29.946 
       4.800    -79.912     -76.655     35.785    -112.613    -21.302 
       5.000    -66.916     -64.834     21.879     -84.409    -15.465 
       5.200    -55.196     -53.871     13.309     -63.782    -11.444 
       5.400    -45.111     -44.271      8.053     -48.610     -8.618 
       5.500    -40.694     -40.026      6.254     -42.582     -7.525 
       5.600    -36.679     -36.149      4.852     -37.388     -6.596 
       5.800    -29.762     -29.428      2.911     -29.024     -5.123 
       6.000    -24.149     -23.940      1.741     -22.741     -4.031 
       6.250    -18.648     -18.533      0.912     -16.983     -3.040 
       6.500    -14.476     -14.413      0.475     -12.861     -2.332 
       7.000     -8.909      -8.891      0.128      -7.669     -1.432 
       7.500     -5.658      -5.653      0.037      -4.791     -0.921 
       8.000     -3.709      -3.708      0.014      -3.114     -0.614 
       8.500     -2.505      -2.504      0.007      -2.092     -0.421 
       9.000     -1.736      -1.736      0.005      -1.445     -0.296 
       9.500     -1.231      -1.231      0.003      -1.022     -0.212 
154.12627 26 
       2.200   3817.287    4518.352  11679.296   -6121.819 -14317.208 
       2.400   3002.817    3494.789   7899.314   -4632.257  -7594.418 
       2.600   2139.950    2480.038   5344.539   -3468.542  -4042.254 
       2.800   1388.826    1621.005   3587.507   -2574.757  -2181.277 
       3.000    815.638     972.410   2382.426   -1897.936  -1204.752 
       3.200    418.413     523.260   1565.060   -1391.729   -686.532 
       3.400    164.488     234.055   1017.982   -1017.188   -405.667 
       3.600     14.330      60.172    655.785    -742.126   -248.891 
       3.800    -65.998     -35.968    418.650    -541.271   -158.479 
       4.000   -102.198     -82.623    265.106    -395.250   -104.499 
       4.200   -112.341     -99.633    166.631    -289.376    -71.086 
       4.400   -108.325    -100.104    104.023    -212.708    -49.680 
       4.600    -97.530     -92.230     64.538    -157.169    -35.541 
       4.800    -84.302     -80.897     39.810    -116.868    -25.949 
       5.000    -71.040     -68.859     24.402     -87.531    -19.292 
       5.200    -58.880     -57.489     14.882     -66.089    -14.578 
       5.400    -48.312     -47.429      9.015     -50.326    -11.178 
       5.500    -43.649     -42.946      7.009     -44.066     -9.839 
       6.000    -26.054     -25.834      1.959     -23.488     -5.434 
       6.500    -15.675     -15.608      0.537     -13.262     -3.198 
       7.000     -9.672      -9.653      0.145      -7.901     -1.983 
       7.500     -6.154      -6.148      0.042      -4.932     -1.282 
       8.000     -4.039      -4.037      0.017      -3.204     -0.857 
       8.500     -2.730      -2.729      0.010      -2.152     -0.589 
       9.000     -1.894      -1.894      0.006      -1.486     -0.414 
       9.500     -1.345      -1.345      0.004      -1.051     -0.298 
180.0 24
       2.200   3802.781    4503.719  11875.834   -6234.828 -14512.368 
       2.400   3053.787    3548.019   8072.393   -4720.357  -7684.520 
       2.600   2208.054    2550.842   5485.363   -3535.266  -4081.951 
       2.800   1450.666    1685.244   3696.212   -2624.588  -2198.553 
       3.000    862.642    1021.306   2462.335   -1934.443  -1213.510 
       3.400    183.401     253.983   1056.702   -1036.211   -411.790 
       3.800    -61.236     -30.718    436.219    -550.919   -163.894 
       4.000   -100.944     -81.035    276.633    -402.094   -109.396 
       4.200   -113.093    -100.156    174.103    -294.259    -75.391 
       4.400   -110.078    -101.701    108.818    -216.198    -53.368 
       4.600    -99.669     -94.263     67.593    -159.672    -38.637 
       4.800    -86.471     -82.994     41.747    -118.666    -28.511 
       5.000    -73.059     -70.831     25.630     -88.836    -21.392 
       5.200    -60.678     -59.256     15.647     -67.035    -16.289 
       5.600    -40.732     -40.159      5.731     -39.196     -9.820 
       5.800    -33.165     -32.804      3.443     -30.388     -7.755 
       6.250    -20.910     -20.785      1.081     -17.744     -4.731 
       6.750    -12.743     -12.706      0.293     -10.293     -2.874 
       7.000    -10.051     -10.031      0.153      -7.993     -2.279 
       7.250     -7.991      -7.980      0.080      -6.281     -1.825 
       7.750     -5.170      -5.167      0.027      -4.004     -1.202 
       8.000     -4.205      -4.203      0.019      -3.242     -0.987 
       9.000     -1.974      -1.974      0.007      -1.504     -0.477 
      10.000     -0.951      -0.951      0.002      -0.771     -0.178 

